architecture,scenario,pilot_seed,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,train_seconds
cnn,rotation,22,dora,DoRA,dora,4-4-4-4,0.01,1.0,0.9583333333333334,0.1922110617160797,87,105,1990,2.374530796000272
cnn,rotation,33,dora,DoRA,dora,4-4-4-4,0.01,1.0,0.9472222222222222,0.2390345185995102,33,51,1990,1.1117104770000878
cnn,rotation,44,dora,DoRA,dora,4-4-4-4,0.01,1.0,0.9333333333333333,0.2363853007555008,19,37,1990,0.8133433779998995
cnn,rotation,55,dora,DoRA,dora,4-4-4-4,0.01,1.0,0.9472222222222222,0.18981143832206726,32,50,1990,1.076469477000046
cnn,rotation,11,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9555555555555556,0.18837116658687592,14,32,1990,0.6946246329998758
cnn,rotation,22,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9527777777777777,0.1791776418685913,31,49,1990,1.0850007589997404
cnn,rotation,33,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9444444444444444,0.24296317994594574,32,50,1990,1.0907395629997154
cnn,rotation,44,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9416666666666667,0.1970028281211853,24,42,1990,0.8941214850001415
cnn,rotation,55,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9583333333333334,0.18170054256916046,39,57,1990,1.5091411859998516
cnn,rotation,11,full,Full fine-tuning,full,0-0-0-0,0.0001,1.0,0.9055555555555556,0.3834150433540344,120,120,13706,2.5984614169997258
cnn,rotation,22,full,Full fine-tuning,full,0-0-0-0,0.0001,1.0,0.9,0.4351923167705536,116,120,13706,2.4601946339998904
cnn,rotation,33,full,Full fine-tuning,full,0-0-0-0,0.0001,1.0,0.8972222222222223,0.4415998160839081,119,120,13706,2.388623028999973
cnn,rotation,44,full,Full fine-tuning,full,0-0-0-0,0.0001,1.0,0.9083333333333333,0.4366905987262726,96,114,13706,2.1665716049997172
cnn,rotation,55,full,Full fine-tuning,full,0-0-0-0,0.0001,1.0,0.8972222222222223,0.4289027452468872,111,120,13706,2.3757261579999067
