scenario,seed,method,rank,selected_learning_rate,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,target_accuracy,target_macro_f1,target_nll,clean_accuracy,clean_macro_f1
contrast,44,LoRA,2,0.01,0.95,0.7387449668431059,4,22,916,0.9527777777777777,0.9526038980647449,0.7613662455258567,0.7416666666666667,0.7597406270210794
contrast,44,LoRA,4,0.003,0.95,0.7767679061160692,7,25,1832,0.9555555555555556,0.9557221642445104,0.800623468770521,0.8083333333333333,0.8171600977521605
contrast,44,LoRA,8,0.003,0.9444444444444444,0.4798039921693392,8,26,3664,0.9583333333333334,0.9582433391206303,0.49726202167393974,0.8222222222222222,0.81844118150823
contrast,44,DoRA,1,0.03,0.9583333333333334,0.17939707603422997,14,32,660,0.9666666666666667,0.9664160817018235,0.13666334433164223,0.8833333333333333,0.8864798195369861
contrast,44,DoRA,2,0.003,0.9555555555555556,0.3607725497693792,21,39,1118,0.9638888888888889,0.9637840858607747,0.3774365131997298,0.7138888888888889,0.726704173775081
contrast,44,DoRA,4,0.003,0.95,0.5097278200374068,11,29,2034,0.9611111111111111,0.9608867693922718,0.5280372801620798,0.8194444444444444,0.8237849189407422
contrast,44,DoRA,8,0.003,0.95,0.6337684730241927,6,24,3866,0.9583333333333334,0.9579584559230758,0.6552528122705048,0.8027777777777778,0.8084125721658907
contrast,55,Frozen,0,0.0,0.7722222222222223,1.200650383455061,0,0,0,0.775,0.7329448733881521,1.2232364796395894,0.975,0.9750206860286077
contrast,55,Magnitude-only,0,0.03,0.9666666666666667,0.1189103479961877,21,39,202,0.9722222222222222,0.9722052655531449,0.10234485070523444,0.9194444444444444,0.9198447853229501
contrast,55,Full fine-tuning,0,0.001,0.9555555555555556,0.6361191621586588,5,23,17226,0.9583333333333334,0.9585790415574224,0.6606958313076181,0.9333333333333333,0.9306349080178171
contrast,55,LoRA,1,0.003,0.9472222222222222,1.0211443892571996,5,23,458,0.9583333333333334,0.9577258532319599,1.044162374177475,0.8166666666666667,0.8225436738264682
contrast,55,LoRA,2,0.003,0.9472222222222222,0.8537274399957283,8,26,916,0.9583333333333334,0.9580852386081491,0.8765710365977212,0.75,0.7637306936782248
contrast,55,LoRA,4,0.003,0.9472222222222222,0.7295225722310309,8,26,1832,0.9555555555555556,0.956011276069716,0.7603972998792347,0.7333333333333333,0.7489041252022589
contrast,55,LoRA,8,0.003,0.9527777777777777,0.6739972753018986,6,24,3664,0.9416666666666667,0.9406359337761703,0.7032116197818906,0.775,0.7740692281852832
contrast,55,DoRA,1,0.01,0.9555555555555556,0.15918874646795003,64,82,660,0.9416666666666667,0.9420312243373837,0.17616927859404896,0.5083333333333333,0.4472741001610454
contrast,55,DoRA,2,0.003,0.95,0.5146985091598933,12,30,1118,0.9666666666666667,0.9663875067387956,0.5297470232759173,0.7555555555555555,0.772692145934325
contrast,55,DoRA,4,0.003,0.95,0.5998768836617218,8,26,2034,0.9555555555555556,0.955667047372839,0.6308649373800432,0.7555555555555555,0.7662815600128129
contrast,55,DoRA,8,0.003,0.9527777777777777,0.5830440426179997,7,25,3866,0.9416666666666667,0.9417097136724351,0.6172429725920117,0.7638888888888888,0.772596572381316
rotation,11,Frozen,0,0.0,0.5111111111111111,4.242985651728869,0,0,0,0.5166666666666667,0.5047112152542345,3.822018991020258,0.975,0.9750206860286077
rotation,11,Magnitude-only,0,0.03,0.8444444444444444,0.5004291118104097,75,93,202,0.85,0.8467959532098325,0.4671288375536183,0.8166666666666667,0.8209067915516016
rotation,11,Full fine-tuning,0,0.001,0.9305555555555556,0.2869729101130764,85,103,17226,0.95,0.949563732329732,0.22633163340438286,0.7222222222222222,0.7250079085466457
rotation,11,LoRA,1,0.03,0.9333333333333333,0.268019111964065,67,85,458,0.9305555555555556,0.9299547721620917,0.3378139508681388,0.75,0.7478736439452207
rotation,11,LoRA,2,0.03,0.9416666666666667,0.2713005486722336,52,70,916,0.9361111111111111,0.9357841576195207,0.24137358753614518,0.7111111111111111,0.7118765626966617
rotation,11,LoRA,4,0.03,0.9416666666666667,0.2843153533328412,47,65,1832,0.9416666666666667,0.9415593887512204,0.2162433352486117,0.725,0.7390405064009228
rotation,11,LoRA,8,0.01,0.9472222222222222,0.21161048924704343,36,54,3664,0.9472222222222222,0.9470082827790718,0.19456306692094105,0.6916666666666667,0.6894087546965668
rotation,11,DoRA,1,0.03,0.9361111111111111,0.2972526349530699,61,79,660,0.9333333333333333,0.9331532143387941,0.34186599380904154,0.6861111111111111,0.6792635287023285
rotation,11,DoRA,2,0.03,0.9388888888888889,0.2204916915060346,56,74,1118,0.9444444444444444,0.9439129190915969,0.20914395297150004,0.7,0.6870044460708968
rotation,11,DoRA,4,0.03,0.9527777777777777,0.1730433418835884,51,69,2034,0.95,0.9500051816648825,0.17509877351554434,0.7111111111111111,0.7222838005553874
rotation,11,DoRA,8,0.03,0.9555555555555556,0.17392661774361,19,37,3866,0.9472222222222222,0.9469897002758196,0.15236804145835503,0.6444444444444445,0.6413102666365728
rotation,22,Frozen,0,0.0,0.5111111111111111,4.242985651728869,0,0,0,0.5166666666666667,0.5047112152542345,3.822018991020258,0.975,0.9750206860286077
rotation,22,Magnitude-only,0,0.03,0.8583333333333333,0.4542173455171941,120,120,202,0.8861111111111111,0.8848943946942939,0.3903975759688181,0.85,0.8517185972447539
rotation,22,Full fine-tuning,0,0.001,0.9333333333333333,0.3083105774102063,112,120,17226,0.9416666666666667,0.9414579731202393,0.19652084814783036,0.7361111111111112,0.7379689618580798
rotation,22,LoRA,1,0.03,0.9277777777777778,0.3020822541737613,45,63,458,0.9027777777777778,0.9031704733085647,0.31515936997704436,0.7861111111111111,0.7918251557828324
rotation,22,LoRA,2,0.03,0.9388888888888889,0.3068462047510089,44,62,916,0.925,0.9242450989277833,0.2549755283075152,0.7055555555555556,0.7079082499477114
rotation,22,LoRA,4,0.03,0.95,0.22237201096591833,13,31,1832,0.9277777777777778,0.9278600425263512,0.21759237904235132,0.7583333333333333,0.7595210919190293
rotation,22,LoRA,8,0.03,0.9583333333333334,0.19224858434343337,45,63,3664,0.9611111111111111,0.9607175128141391,0.15773860151555041,0.6305555555555555,0.6180176009924823
rotation,22,DoRA,1,0.01,0.925,0.31418246302259273,96,114,660,0.925,0.9248812236387897,0.28831433625746583,0.7277777777777777,0.73046192897845
rotation,22,DoRA,2,0.03,0.9416666666666667,0.22360645463851922,23,41,1118,0.9416666666666667,0.941578735979026,0.20730423880028895,0.725,0.7301226235067374
rotation,22,DoRA,4,0.03,0.9444444444444444,0.1853872168036708,30,48,2034,0.9388888888888889,0.938616824021819,0.17862481719095102,0.7027777777777777,0.7035562186439462
rotation,22,DoRA,8,0.03,0.95,0.16133520663720616,16,34,3866,0.9583333333333334,0.957852082174391,0.15109469573207818,0.6888888888888889,0.6910306407181499
rotation,33,Frozen,0,0.0,0.5111111111111111,4.242985651728869,0,0,0,0.5166666666666667,0.5047112152542345,3.822018991020258,0.975,0.9750206860286077
rotation,33,Magnitude-only,0,0.03,0.8777777777777778,0.37369587965279705,120,120,202,0.875,0.8742732443994614,0.39304006825035254,0.8111111111111111,0.8129632513443934
rotation,33,Full fine-tuning,0,0.001,0.9333333333333333,0.24612414120739545,110,120,17226,0.925,0.9250847952935773,0.19491825683533995,0.7694444444444445,0.7679121232950367
rotation,33,LoRA,1,0.03,0.9388888888888889,0.2271986508422972,100,118,458,0.925,0.9247446882481972,0.2996543598892141,0.7666666666666667,0.7600109337048853
rotation,33,LoRA,2,0.03,0.9222222222222223,0.2841236692069462,19,37,916,0.9277777777777778,0.9276228706787203,0.3225197525341648,0.7611111111111111,0.7589788162748121
rotation,33,LoRA,4,0.03,0.9555555555555556,0.2109865627142115,37,55,1832,0.9305555555555556,0.9292974890017144,0.2467826478070561,0.7444444444444445,0.7375307237823285
rotation,33,LoRA,8,0.03,0.9527777777777777,0.20301821719526655,25,43,3664,0.9305555555555556,0.9302638440967709,0.20482890274435056,0.7361111111111112,0.7343112948870405
rotation,33,DoRA,1,0.01,0.925,0.26141668231630893,86,104,660,0.9111111111111111,0.9108132001313356,0.3027836554772989,0.775,0.7718256065330155
rotation,33,DoRA,2,0.03,0.9527777777777777,0.17837718563535201,80,98,1118,0.9444444444444444,0.9438020913074988,0.2274202195011976,0.6722222222222223,0.6608825150680866
rotation,33,DoRA,4,0.03,0.9444444444444444,0.18800680091551203,34,52,2034,0.9388888888888889,0.9381314530737747,0.19407493525554248,0.6861111111111111,0.6920838806843891
